filename,line_number,problem_description
src/utils/replay-encoder.ts,L7,Prefer `String#replaceAll()` over `String#replace()`.
src/utils/replay-encoder.ts,L8,Prefer `String#replaceAll()` over `String#replace()`.
src/utils/replay-encoder.ts,L9,Prefer `String#replaceAll()` over `String#replace()`.
src/utils/usage.ts,L3,Prefer `globalThis` over `window`.
src/utils/usage.ts,L4,Prefer `globalThis` over `window`.
src/utils/utils.ts,L56,Arguments 'y' and 'x' have the same names but not the same order as the function parameters.
src/view/aiminputs.ts,L43,Prefer `globalThis` over `window`.
src/view/ballmaterialfactory.ts,L6,Member 'materialCache' is never reassigned; mark it as `readonly`.
src/view/ballmaterialfactory.ts,L53,Member 'materialCache' is never reassigned; mark it as `readonly`.
src/view/ballmesh.ts,L98,Unexpected negated condition.
src/view/ballmesh.ts,L166,Unexpected negated condition.
src/view/balltexturefactory.ts,L4,Member 'textureCache' is never reassigned; mark it as `readonly`.
src/view/cameratop.ts,L9,Make this public static property readonly.
src/view/cuemesh.ts,L13,Make this public static property readonly.
src/view/cuemesh.ts,L102,Make this public static property readonly.
src/view/cuemesh.ts,L102,Make this public static property readonly.
src/view/cuemesh.ts,L102,Make this public static property readonly.
src/view/grid.ts,L23,Do not call `Array#push()` multiple times.
src/view/grid.ts,L31,Do not call `Array#push()` multiple times.
src/view/lobbyindicator.ts,L10,Refactor this asynchronous operation outside of the constructor.
src/view/notification.ts,L98,Prefer `globalThis` over `window`.
src/view/notification.ts,L102,Prefer `globalThis` over `window`.
src/view/notification.ts,L115,Prefer `globalThis` over `window`.
src/view/pocketgeometry.ts,L11,Make this public static property readonly.
src/view/pocketgeometry.ts,L12,Make this public static property readonly.
src/view/pocketgeometry.ts,L13,Make this public static property readonly.
src/view/pocketgeometry.ts,L14,Make this public static property readonly.
src/view/pocketgeometry.ts,L15,Make this public static property readonly.
src/view/pocketgeometry.ts,L16,Make this public static property readonly.
src/view/pocketgeometry.ts,L17,Make this public static property readonly.
src/view/pocketgeometry.ts,L18,Make this public static property readonly.
src/view/pocketgeometry.ts,L20,Make this public static property readonly.
src/view/pocketgeometry.ts,L21,Make this public static property readonly.
src/view/pocketgeometry.ts,L22,Make this public static property readonly.
src/view/sliders.ts,L65,Prefer `Number.parseFloat` over `parseFloat`.
src/view/tablegeometry.ts,L4,Make this public static property readonly.
src/view/tablegeometry.ts,L5,Make this public static property readonly.
src/view/tablegeometry.ts,L6,Make this public static property readonly.
src/view/tablegeometry.ts,L7,Make this public static property readonly.
src/view/tablegeometry.ts,L8,Make this public static property readonly.
src/view/tablemesh.ts,L17,Make this public static property readonly.
src/view/tablemesh.ts,L24,Make this public static property readonly.
test/controller/controller.spec.ts,L210,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L224,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L240,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L323,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L324,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L325,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L326,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L327,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L328,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L329,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L330,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L331,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L332,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L333,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L334,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L335,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L336,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L337,Do not call `Array#push()` multiple times.
test/controller/controller.spec.ts,L338,Do not call `Array#push()` multiple times.
test/controller/replay.spec.ts,L22,Prefer `globalThis` over `global`.
test/controller/replay.spec.ts,L108,Prefer `globalThis` over `global`.
test/diagram/realposition.spec.ts,L21,Don't use a zero fraction in the number.
test/gen/diamond.spec.ts,L7,Prefer `globalThis` over `global`.
test/gen/diamond.spec.ts,L7,Prefer `globalThis` over `global`.
test/gen/diamond.spec.ts,L11,Prefer `globalThis` over `global`.
test/model/cushion.spec.ts,L17,Prefer `globalThis` over `global`.
test/model/cushion.spec.ts,L17,Prefer `globalThis` over `global`.
test/model/cushion.spec.ts,L21,Prefer `globalThis` over `global`.
test/model/cushion.spec.ts,L75,Prefer `globalThis` over `global`.
test/model/cushion.spec.ts,L186,Prefer `globalThis` over `global`.
test/model/physics.spec.ts,L43,Don't use a zero fraction in the number.
test/model/table.spec.ts,L62,Don't use a zero fraction in the number.
test/model/table.spec.ts,L63,Don't use a zero fraction in the number.
test/network/client/scorereporter.spec.ts,L11,Prefer `globalThis` over `global`.
test/rules/fourteenone.spec.ts,L20,Prefer `globalThis` over `global`.
test/rules/fourteenone.spec.ts,L20,Prefer `globalThis` over `global`.
test/rules/fourteenone.spec.ts,L24,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L27,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L27,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L31,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L203,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L204,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L216,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L217,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L227,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L239,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L249,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L261,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L262,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L263,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L276,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L277,Prefer `globalThis` over `global`.
